day,user_lat,user_lon,name,address,location_lat,location_lon,distance_km,route_minutes,elevation,elevation_category,weather_score,final_score
2025-12-16,40.37092,-3.69664,"Jardines de la Plaza de Oriente, Lepanto y Cabo Noval",CALLE BAILEN 17,40.41835486065351,-3.712838830603048,5.45,90.1,638.5148315429688,llano,24,9.54
2025-12-16,40.37092,-3.69664,Jardines de la Plaza de la Villa de París,CALLE GENERAL CASTAÑOS 6,40.42620255233654,-3.6934468983675846,6.15,100.6,662.442626953125,moderado,24,7.79
2025-12-16,40.37092,-3.69664,Jardines de las Vistillas,CALLE MORERIA 12,40.41281392212301,-3.7143597156687056,4.89,82.2,635.6641845703125,llano,24,10.88
2025-12-16,40.37092,-3.69664,Jardines del Arquitecto Ribera,CALLE BARCELO 2,40.42640449792336,-3.7002981748621955,6.18,102.1,665.1942138671875,moderado,24,7.61
2025-12-16,40.37092,-3.69664,Jardines del Descubrimiento,CALLE GOYA 2,40.42518540300912,-3.6887800207651495,6.07,100.0,656.130615234375,moderado,24,7.93
2025-12-16,40.37092,-3.69664,Jardines del Doctor Fleming,CALLE DOCTOR FLEMING 1,40.45454215758879,-3.6893863385035783,9.32,150.5,700.97412109375,moderado,24,-0.37
2025-12-16,40.37092,-3.69664,Jardines del Mundial. Castellana,PASEO CASTELLANA 142 B,40.4530917282714,-3.6893833082867062,9.16,147.7,697.159423828125,moderado,24,0.08
2025-12-16,40.37092,-3.69664,Jardines del Príncipe de Anglona,PLAZA PAJA 6,40.413417349090764,-3.711466649831885,4.89,80.5,632.9906005859375,llano,24,11.06
2025-12-16,40.37092,-3.69664,Jardín Botánico de Pradolongo,AVENIDA RAFAELA YBARRA,40.373745996607155,-3.712180056298639,1.35,20.4,590.1837768554688,llano,24,20.61
2025-12-16,40.37092,-3.69664,Jardín Concejal Alejandro Muñoz Revenga,CALLE MELENDEZ VALDES 32,40.43304334055123,-3.712227582685096,7.03,116.4,668.7167358398438,moderado,24,5.32
2025-12-16,40.37092,-3.69664,Jardín Doña Concha Piquer,PASEO IMPERIAL 93,40.402080397498985,-3.714965086287463,3.8,61.1,590.28271484375,llano,24,14.1
2025-12-16,40.37092,-3.69664,Jardín Fachada Pirámides I,PASEO ACACIAS 60,40.40148810908036,-3.713132255123738,3.67,59.4,588.1795043945312,llano,24,14.38
2025-12-16,40.37092,-3.69664,Jardín Glorieta de Azorín,CUESTA VEGA 3,40.414757673901924,-3.7161718357850444,5.15,84.5,609.1763305664062,llano,24,10.4
2025-12-16,40.37092,-3.69664,Jardín Jazmín,CALLE ROQUETAS DE MAR 10,40.481785094079584,-3.660098332215654,12.71,209.5,702.4341430664062,moderado,24,-9.66
2025-12-16,40.37092,-3.69664,Jardín Palacio O'Reilly,PLAZA CRUZ VERDE 2,40.41418990040181,-3.7118283820550775,4.98,82.0,633.5699462890625,llano,24,10.82
2025-12-16,40.37092,-3.69664,Jardín de Embajadores M-30,CALLE PUERTO DE LA CRUZ VERDE 29,40.38418473435094,-3.685817452497564,1.74,35.5,572.4658813476562,llano,24,18.71
2025-12-16,40.37092,-3.69664,Jardín de Larra,CALLE FACTOR 7,40.41631909566782,-3.712793771176405,5.23,88.2,649.0950927734375,llano,24,9.95
2025-12-16,40.37092,-3.69664,Jardín de la Colonia Congosto,CALLE CONGOSTO 70,40.37089825532696,-3.618365854832584,6.63,117.2,622.92724609375,llano,24,5.65
2025-12-16,40.37092,-3.69664,Jardín de la Transición Española,PASEO CASTELLANA 78 B,40.4390037057741,-3.6905481652485355,7.59,123.9,670.3446044921875,moderado,24,4.02
2025-12-16,40.37092,-3.69664,Jardín del Bulevar de Peña Gorbea,CALLE PEÑA GORBEA 17 B,40.3957812018463,-3.6670346724676173,3.73,70.0,602.9321899414062,llano,24,13.27
2025-12-16,40.37092,-3.69664,Jardín del Maestro Padilla,CALLE SAN ALEJANDRO 1,40.404491323444994,-3.7213308239798675,4.28,70.5,578.9602661132812,llano,24,12.67
2025-12-16,40.37092,-3.69664,Jardín del Templo de Debod,CALLE FERRAZ 1,40.42425096551599,-3.716531855540272,6.16,101.1,644.2000732421875,llano,24,7.73
2025-12-16,40.37092,-3.69664,Jardín del paseo Federico García Lorca,PASEO FEDERICO GARCIA LORCA 21,40.37740868500615,-3.6206400361863036,6.48,115.0,624.9237060546875,llano,24,6.02
2025-12-16,40.37092,-3.69664,Jardín el Torero,CALLE TORERO 6,40.39218269145896,-3.7056345651289417,2.48,39.5,581.4005126953125,llano,24,17.57
2025-12-16,40.37092,-3.69664,Jardín histórico El Capricho de la Alameda Osuna,PASEO ALAMEDA DE OSUNA 25,40.45446361509569,-3.6000964360303476,12.37,202.2,624.380859375,llano,24,-8.59
2025-12-16,40.37092,-3.69664,Palacio de Cristal de la Arganzuela: Invernadero,PASEO CHOPERA 10,40.3933877847248,-3.698565632659468,2.5,40.0,571.2179565429688,llano,24,17.49
2025-12-16,40.37092,-3.69664,Parque Agustín Rodríguez Sahagún y Parque de los Pinos,PASEO DIRECCION 301,40.47022952429582,-3.7038792453996385,11.06,178.4,694.8382568359375,moderado,24,-4.9
2025-12-16,40.37092,-3.69664,Parque Alcalde Jesús Pérez Quijano,CALLE LADERA DE LOS ALMENDROS,40.40418961057298,-3.622901144863193,7.26,137.5,693.1082153320312,moderado,24,2.99
2025-12-16,40.37092,-3.69664,Parque Alfredo Kraus,CALLE MAR ADRIATICO 5,40.47098300036034,-3.6393251567222045,12.14,209.1,687.3546752929688,moderado,24,-9.05
2025-12-16,40.37092,-3.69664,Parque Almansa,CALLE ALMANSA 97,40.449252672650985,-3.7133420888843105,8.82,143.4,686.0366821289062,moderado,24,0.83
2025-12-16,40.37092,-3.69664,Parque Aluche,CALLE TEMBLEQUE 45,40.394320359418835,-3.7592814565910553,5.91,101.6,656.8031005859375,moderado,24,7.93
2025-12-16,40.37092,-3.69664,Parque Aluche - Poblados,CALLE GUAREÑA 22,40.38543450752234,-3.765190215590101,6.03,97.0,673.516357421875,moderado,24,8.27
2025-12-16,40.37092,-3.69664,Parque Alzola,CALLE BEASAIN 2,40.36716919688689,-3.7136655626692887,1.5,26.9,603.5908203125,llano,24,19.81
